,InstituteId,InstituteName,Institution,CourseName,Course,Location,City,BranchCode,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,AvgCutoffRank
29,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Computers Science And Engineering,Computers Science And Engineering [CS],"Mysuru Rd,Bengaluru",Bengaluru,CS,749,0,1226,1092,1672,1429,1100,0,3436,397,0,844,544,0,830,360,1659,800,6380,11447,10358,7132,27929,11075,4522
31,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Computer Science Engineering-Data Sciences,Computer Science Engineering-Data Sciences [DS],"Mysuru Rd,Bengaluru",Bengaluru,DS,2027,0,0,1779,0,2667,2221,0,0,1382,0,0,1029,0,0,899,2750,1777,10583,0,18082,17030,0,0,5185
25,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Mysuru Rd,Bengaluru",Bengaluru,AI,3358,0,0,2269,4303,0,1169,0,0,1213,0,0,1468,0,2795,1143,3175,2190,11742,0,13967,11268,0,22763,5915
36,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Information Science and Engineering,Information Science and Engineering [IE],"Mysuru Rd,Bengaluru",Bengaluru,IE,1402,0,0,1657,4284,2950,1628,0,0,723,0,0,947,0,1008,663,3599,976,8590,17565,11553,14359,0,24786,6043
30,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Computer Science Engineering-Cyber Security,Computer Science Engineering-Cyber Security [CY],"Mysuru Rd,Bengaluru",Bengaluru,CY,0,0,0,2593,0,2992,2508,0,0,1954,5075,0,1384,0,0,1339,0,2620,12957,0,26998,8463,0,0,6262
177,E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E021],Computers Science And Engineering,Computers Science And Engineering [CS],"University Of Mysore Campus, Mysore",Mysore,CS,6018,0,0,4541,0,5627,7950,13896,0,2239,0,0,2862,0,4637,2077,2863,3783,10528,0,16273,5174,0,8354,6454
46,E006,M S Ramaiah Institute of Technology  Bangalore,M S Ramaiah Institute of Technology  Bangalore [E006],Computers Science And Engineering,Computers Science And Engineering [CS],"MSRIT Post,Bengaluru",Bengaluru,CS,3085,0,0,2877,6460,3637,3412,0,0,2479,0,0,2128,0,3305,1859,3592,3045,12563,16313,14402,13465,0,23343,7247
322,E048,"B M S College of Engineering  Basavanagudi,Bangalore","B M S College of Engineering  Basavanagudi,Bangalore [E048]",Computers Science And Engineering,Computers Science And Engineering [CS],"Basavanagudi,Bengaluru",Bengaluru,CS,2623,0,4832,2953,6480,4214,3860,0,4755,1594,0,2339,1977,3565,3055,1037,3057,1817,13450,17704,18099,14210,27763,22641,7715
1415,E284,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E284],Computers Science And Engineering,Computers Science And Engineering [CS],Mysore,Mysore,CS,4232,0,0,4910,0,7087,9850,0,0,3492,0,0,3889,0,0,3134,9051,4796,19448,0,23301,10569,0,0,8646
32,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"Mysuru Rd,Bengaluru",Bengaluru,EC,2562,0,0,3414,10747,6117,5547,0,0,1639,0,0,1838,0,5893,1366,4743,3563,16080,22018,24848,13670,0,20237,9017
