,InstituteId,Institution,Course
0,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ) [E001],Artificial Intelligence and Machine Learning [AI]
1,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ) [E001],Civil Engineering [CE]
2,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ) [E001],Computers Science And Engineering [CS]
4,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ) [E001],Electrical And Electronics Engineering [EE]
3,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ) [E001],Electronics and Communication Engineering [EC]
5,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ) [E001],Information Science and Engineering [IE]
6,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ) [E001],Mechanical Engineering [ME]
7,E002,S K S J T Institute of Engineering.  Bangalore [E002],Civil Engineering [CE]
8,E002,S K S J T Institute of Engineering.  Bangalore [E002],Computers Science And Engineering [CS]
9,E002,S K S J T Institute of Engineering.  Bangalore [E002],Electronics and Communication Engineering [EC]
10,E002,S K S J T Institute of Engineering.  Bangalore [E002],Silk Technology [ST]
11,E002,S K S J T Institute of Engineering.  Bangalore [E002],Textile Technology [TX]
12,E003,"B M S College of Engineering  Basavanagudi,Bangalore [E003]",Civil Engineering [CE]
14,E003,"B M S College of Engineering  Basavanagudi,Bangalore [E003]",Electrical And Electronics Engineering [EE]
13,E003,"B M S College of Engineering  Basavanagudi,Bangalore [E003]",Electronics and Communication Engineering [EC]
15,E003,"B M S College of Engineering  Basavanagudi,Bangalore [E003]",Industrial Engineering and Management [IM]
16,E003,"B M S College of Engineering  Basavanagudi,Bangalore [E003]",Mechanical Engineering [ME]
17,E004,Dr. Ambedkar Institute Of Technology  Bangalore [E004],Civil Engineering [CE]
18,E004,Dr. Ambedkar Institute Of Technology  Bangalore [E004],Computers Science And Engineering [CS]
20,E004,Dr. Ambedkar Institute Of Technology  Bangalore [E004],Electrical And Electronics Engineering [EE]
19,E004,Dr. Ambedkar Institute Of Technology  Bangalore [E004],Electronics and Communication Engineering [EC]
21,E004,Dr. Ambedkar Institute Of Technology  Bangalore [E004],Electronics and Instrumentation Engineering [EI]
22,E004,Dr. Ambedkar Institute Of Technology  Bangalore [E004],Electronics and Telecommunication Engineering [ET]
23,E004,Dr. Ambedkar Institute Of Technology  Bangalore [E004],Industrial Engineering and Management [IM]
24,E004,Dr. Ambedkar Institute Of Technology  Bangalore [E004],Mechanical Engineering [ME]
39,E005,R. V. College of Engineering  Bangalore [E005],Aero Space Engineering [SE]
25,E005,R. V. College of Engineering  Bangalore [E005],Artificial Intelligence and Machine Learning [AI]
26,E005,R. V. College of Engineering  Bangalore [E005],Bio Technology [BT]
28,E005,R. V. College of Engineering  Bangalore [E005],Chemical Engineering [CH]
27,E005,R. V. College of Engineering  Bangalore [E005],Civil Engineering [CE]
30,E005,R. V. College of Engineering  Bangalore [E005],Computer Science Engineering-Cyber Security [CY]
31,E005,R. V. College of Engineering  Bangalore [E005],Computer Science Engineering-Data Sciences [DS]
29,E005,R. V. College of Engineering  Bangalore [E005],Computers Science And Engineering [CS]
33,E005,R. V. College of Engineering  Bangalore [E005],Electrical And Electronics Engineering [EE]
32,E005,R. V. College of Engineering  Bangalore [E005],Electronics and Communication Engineering [EC]
34,E005,R. V. College of Engineering  Bangalore [E005],Electronics and Instrumentation Engineering [EI]
35,E005,R. V. College of Engineering  Bangalore [E005],Electronics and Telecommunication Engineering [ET]
37,E005,R. V. College of Engineering  Bangalore [E005],Industrial Engineering and Management [IM]
36,E005,R. V. College of Engineering  Bangalore [E005],Information Science and Engineering [IE]
38,E005,R. V. College of Engineering  Bangalore [E005],Mechanical Engineering [ME]
40,E006,M S Ramaiah Institute of Technology  Bangalore [E006],Artificial Intelligence And Data Science [AD]
41,E006,M S Ramaiah Institute of Technology  Bangalore [E006],Artificial Intelligence and Machine Learning [AI]
42,E006,M S Ramaiah Institute of Technology  Bangalore [E006],Bio Technology [BT]
45,E006,M S Ramaiah Institute of Technology  Bangalore [E006],Chemical Engineering [CH]
44,E006,M S Ramaiah Institute of Technology  Bangalore [E006],Civil Engineering [CE]
43,E006,M S Ramaiah Institute of Technology  Bangalore [E006],"Computer Science Engineering-AI, Machine Learning [CA]"
47,E006,M S Ramaiah Institute of Technology  Bangalore [E006],Computer Science Engineering-Cyber Security [CY]
46,E006,M S Ramaiah Institute of Technology  Bangalore [E006],Computers Science And Engineering [CS]
49,E006,M S Ramaiah Institute of Technology  Bangalore [E006],Electrical And Electronics Engineering [EE]
48,E006,M S Ramaiah Institute of Technology  Bangalore [E006],Electronics and Communication Engineering [EC]
50,E006,M S Ramaiah Institute of Technology  Bangalore [E006],Electronics and Instrumentation Engineering [EI]
51,E006,M S Ramaiah Institute of Technology  Bangalore [E006],Electronics and Telecommunication Engineering [ET]
53,E006,M S Ramaiah Institute of Technology  Bangalore [E006],Industrial Engineering and Management [IM]
52,E006,M S Ramaiah Institute of Technology  Bangalore [E006],Information Science and Engineering [IE]
55,E006,M S Ramaiah Institute of Technology  Bangalore [E006],Mechanical Engineering [ME]
54,E006,M S Ramaiah Institute of Technology  Bangalore [E006],Medical Electronics [MD]
56,E007,Dayananda Sagar College of Engineering  Bangalore [E007],Aeronautical Engineering [AE]
57,E007,Dayananda Sagar College of Engineering  Bangalore [E007],Artificial Intelligence and Machine Learning [AI]
58,E007,Dayananda Sagar College of Engineering  Bangalore [E007],Automobile  Engineering [AU]
59,E007,Dayananda Sagar College of Engineering  Bangalore [E007],Bio Technology [BT]
