,InstituteId,InstituteName,Institution,CourseName,Course,Location,City,BranchCode,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,AvgCutoffRank,Category-1_min,Category-1_max,Category-2A_min,Category-2A_max,Category-2B_min,Category-2B_max,Category-3A_min,Category-3A_max,Category-3B_min,Category-3B_max,Category-GM_min,Category-GM_max,Category-SC_min,Category-SC_max,Category-ST_min,Category-ST_max
686,E112,Sri Krishna Institute of Technology  Bangalore,Sri Krishna Institute of Technology  Bangalore [E112],Civil Engineering,Civil Engineering [CE],"Chikkabanavara, Bengaluru",Bengaluru,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,E174,"Dr. Sri. Sri. Sri. Shivakumara Mahaswamyji College of Engineering  Bangalore Rural -Dist,","Dr. Sri. Sri. Sri. Shivakumara Mahaswamyji College of Engineering  Bangalore Rural -Dist, [E174]",Civil Engineering,Civil Engineering [CE],"Kammasandra, Bengaluru Rural",Bengaluru Rural,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,E174,"Dr. Sri. Sri. Sri. Shivakumara Mahaswamyji College of Engineering  Bangalore Rural -Dist,","Dr. Sri. Sri. Sri. Shivakumara Mahaswamyji College of Engineering  Bangalore Rural -Dist, [E174]",Mechanical Engineering,Mechanical Engineering [ME],"Kammasandra, Bengaluru Rural",Bengaluru Rural,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,E175,S.G.Balekundri Institute of Technology  Belgaum,S.G.Balekundri Institute of Technology  Belgaum [E175],Civil Engineering,Civil Engineering [CE],Belgaum,Belgaum,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1366,E260,Nitte School of Architecture  YELAHANKA BANGALORE,Nitte School of Architecture  YELAHANKA BANGALORE [E260],DESIGN,DESIGN [DG],"Yelahanka,Bengaluru",Bengaluru,DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1369,E264,"Basava Engineering School of Technology  Zalaki, Vijaypura Dist.","Basava Engineering School of Technology  Zalaki, Vijaypura Dist. [E264]",Civil Engineering,Civil Engineering [CE],"Zalaki, Bijapur",Bijapur,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,E059,P D A College of Engineering  Gulbarga,P D A College of Engineering  Gulbarga [E059],Industrial and Production Engineering,Industrial and Production Engineering [IP],"Shambhognlli, Gulbarga",Gulbarga,IP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,E127,M S Engineering College  Bangalore Urban,M S Engineering College  Bangalore Urban [E127],Civil Engineering,Civil Engineering [CE],"Off Bengaluru International Airport, Bengaluru",Bengaluru,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774,E127,M S Engineering College  Bangalore Urban,M S Engineering College  Bangalore Urban [E127],Mechanical Engineering,Mechanical Engineering [ME],"Off Bengaluru International Airport, Bengaluru",Bengaluru,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,E134,"Smt. Kamala and Sri Venkappa M.Agadi College of Engg. and Tech.  Laxmeshwara-Tq, Gadag Dt.","Smt. Kamala and Sri Venkappa M.Agadi College of Engg. and Tech.  Laxmeshwara-Tq, Gadag Dt. [E134]",Mechanical Engineering,Mechanical Engineering [ME],"Laxmeshwara, Gadag",Gadag,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,E135,"K L S Viswanathrao Deshpande Institute of Technology  Haliyal, Uttara Kannada -Dist","K L S Viswanathrao Deshpande Institute of Technology  Haliyal, Uttara Kannada -Dist [E135]",Civil Engineering,Civil Engineering [CE],"Haliyal, Uttara Kannada",Uttara Kannada,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1195,E209,Jyothi Institute of Technology  Bangalore,Jyothi Institute of Technology  Bangalore [E209],Civil Engineering,Civil Engineering [CE],"Thathaguni, Bengaluru",Bengaluru,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,E209,Jyothi Institute of Technology  Bangalore,Jyothi Institute of Technology  Bangalore [E209],Mechanical Engineering,Mechanical Engineering [ME],"Thathaguni, Bengaluru",Bengaluru,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,E172,"R.R.Institute of Technology  Chikkabanavara, Bangalore","R.R.Institute of Technology  Chikkabanavara, Bangalore [E172]",Mechanical Engineering,Mechanical Engineering [ME],"Chikkabavanara,Bengaluru",Bengaluru,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,E063,SJM Institute of Techonology  Chitradurga,SJM Institute of Techonology  Chitradurga [E063],Mechanical Engineering,Mechanical Engineering [ME],"Hanumantha Nagara, Chitradurga",Chitradurga,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378,E269,"Jain College of Engineering and Research  Udyambhag, Belgaum","Jain College of Engineering and Research  Udyambhag, Belgaum [E269]",Civil Engineering,Civil Engineering [CE],"Udyambhag, Belgaum",Belgaum,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1381,E269,"Jain College of Engineering and Research  Udyambhag, Belgaum","Jain College of Engineering and Research  Udyambhag, Belgaum [E269]",Mechanical Engineering,Mechanical Engineering [ME],"Udyambhag, Belgaum",Belgaum,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,E045,Rao Bahadur Y.Mahabaleswarappa Engineering College  Bellari,Rao Bahadur Y.Mahabaleswarappa Engineering College  Bellari [E045],Mechanical Engineering,Mechanical Engineering [ME],"Cantonment Bellary,Bellary",Bellary,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
