,InstituteId,InstituteName,BranchCode,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
0,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI,10087,20801,0,9302,0,10041,12213,0,0,7188,0,0,7791,0,0,6935,7979,8653,26148,0,33645,24190,0,33807
1,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE,126281,0,140951,99176,0,110030,95076,0,105256,79965,0,88750,93233,153643,95251,74111,84671,86716,105351,132307,186680,109874,0,129504
2,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS,5809,0,0,5835,7296,6519,7166,0,12625,4749,0,5774,4889,0,5708,4344,6701,5402,20990,28206,29187,15475,16438,20958
3,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC,15177,0,18548,14878,15407,16522,21600,0,0,10997,0,12440,10574,0,14664,9878,14864,11936,33658,46591,47113,37482,0,52570
4,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE,41399,0,55688,37226,39400,43302,59169,96469,89610,26321,0,0,28487,0,34904,23821,32204,31736,69595,73849,74966,72997,0,78257
5,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE,8789,0,0,7228,0,8133,8098,0,0,5783,0,0,5808,0,0,5695,7193,6198,24284,31375,40322,24799,0,28919
6,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),ME,83509,0,84665,86868,0,107637,104732,0,0,77173,0,82171,89425,119900,115863,64627,75314,80740,139206,180358,169992,145187,188634,170285
7,E002, S K S J T Institute of Engineering.  Bangalore,CE,0,0,0,180953,0,0,183004,0,0,148299,0,0,147143,0,194825,138512,0,161691,174982,0,0,183936,0,0
8,E002, S K S J T Institute of Engineering.  Bangalore,CS,24899,0,0,28336,0,0,0,0,0,23794,0,0,25299,0,25427,23163,24419,0,32790,36626,43970,34511,0,36547
9,E002, S K S J T Institute of Engineering.  Bangalore,EC,52617,0,0,41255,45413,47267,42146,0,0,37660,0,48919,39124,0,0,35196,42105,39920,64925,0,0,77419,0,0
10,E002, S K S J T Institute of Engineering.  Bangalore,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196799,0,0,0,0,0,0,0,0
11,E002, S K S J T Institute of Engineering.  Bangalore,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199729,0,0,0,0,0,0,0,0
12,E003," B M S College of Engineering  Basavanagudi,Bangalore",CE,46793,0,0,60297,0,0,82145,0,0,53421,0,0,58832,0,0,42640,0,67929,110027,0,149392,79398,0,131971
13,E003," B M S College of Engineering  Basavanagudi,Bangalore",EC,5251,0,8613,6663,14821,8275,14769,0,0,4713,0,0,4420,0,0,3537,6227,6424,24731,47314,35545,30602,0,0
14,E003," B M S College of Engineering  Basavanagudi,Bangalore",EE,25274,0,0,22022,0,27454,19886,0,0,20361,0,0,17692,0,26729,14499,15787,25748,54357,0,92064,51371,80710,109321
15,E003," B M S College of Engineering  Basavanagudi,Bangalore",IM,91460,0,0,95159,0,0,86500,0,183529,66700,0,118275,77886,0,0,55047,118046,86676,139060,0,0,165009,0,0
16,E003," B M S College of Engineering  Basavanagudi,Bangalore",ME,88894,0,137940,49867,0,74434,39647,0,0,40104,0,0,38650,0,90043,33987,36575,42559,109249,0,0,117491,0,0
17,E004, Dr. Ambedkar Institute Of Technology  Bangalore,CE,177914,0,0,150060,0,198805,169272,0,0,150413,0,0,152038,0,157959,125360,142751,141647,179911,0,0,201395,0,0
18,E004, Dr. Ambedkar Institute Of Technology  Bangalore,CS,10667,0,0,12279,0,13561,14601,0,0,12629,13444,0,11363,0,12039,10609,11124,11482,26488,0,32872,25706,0,29445
19,E004, Dr. Ambedkar Institute Of Technology  Bangalore,EC,24078,0,26152,25072,25200,29720,30063,0,0,23049,0,25888,23278,0,24014,20278,22328,23648,56420,71638,69342,64236,79396,71420
20,E004, Dr. Ambedkar Institute Of Technology  Bangalore,EE,47168,179110,0,46505,0,50472,61072,0,83899,46771,0,0,43120,0,0,40844,42626,44847,91452,0,102416,94085,0,0
21,E004, Dr. Ambedkar Institute Of Technology  Bangalore,EI,79060,0,0,78757,92830,95956,117081,0,0,60808,0,72850,74691,0,0,58813,84492,67846,168733,0,0,181597,0,0
22,E004, Dr. Ambedkar Institute Of Technology  Bangalore,ET,76834,0,0,50406,0,52790,83978,0,0,46903,0,0,52316,82972,0,45231,62418,51672,117447,0,0,190978,0,0
23,E004, Dr. Ambedkar Institute Of Technology  Bangalore,IM,0,0,0,149016,0,0,0,0,0,192913,0,0,0,0,0,137543,0,165761,0,0,0,0,0,0
24,E004, Dr. Ambedkar Institute Of Technology  Bangalore,ME,168108,0,0,201605,0,0,172312,0,0,147700,0,0,169259,0,0,131571,141189,135503,189841,0,192619,202565,0,0
25,E005, R. V. College of Engineering  Bangalore,AI,3358,0,0,2269,4303,0,1169,0,0,1213,0,0,1468,0,2795,1143,3175,2190,11742,0,13967,11268,0,22763
26,E005, R. V. College of Engineering  Bangalore,BT,0,0,0,30927,0,0,0,0,0,17117,0,0,0,0,0,13000,24887,30408,22608,0,0,147804,0,0
27,E005, R. V. College of Engineering  Bangalore,CE,26694,0,0,31724,0,38205,20700,0,0,0,0,0,19240,38667,0,18609,0,30465,46652,0,0,32690,0,0
28,E005, R. V. College of Engineering  Bangalore,CH,0,0,0,17358,0,0,30330,0,0,19987,0,32880,0,0,0,14949,30808,20760,58987,0,0,0,0,0
29,E005, R. V. College of Engineering  Bangalore,CS,749,0,1226,1092,1672,1429,1100,0,3436,397,0,844,544,0,830,360,1659,800,6380,11447,10358,7132,27929,11075
30,E005, R. V. College of Engineering  Bangalore,CY,0,0,0,2593,0,2992,2508,0,0,1954,5075,0,1384,0,0,1339,0,2620,12957,0,26998,8463,0,0
31,E005, R. V. College of Engineering  Bangalore,DS,2027,0,0,1779,0,2667,2221,0,0,1382,0,0,1029,0,0,899,2750,1777,10583,0,18082,17030,0,0
32,E005, R. V. College of Engineering  Bangalore,EC,2562,0,0,3414,10747,6117,5547,0,0,1639,0,0,1838,0,5893,1366,4743,3563,16080,22018,24848,13670,0,20237
33,E005, R. V. College of Engineering  Bangalore,EE,0,0,24901,7726,0,0,19769,0,34415,0,0,0,6093,0,0,6013,14314,7131,15930,80801,0,25162,0,0
34,E005, R. V. College of Engineering  Bangalore,EI,26007,0,0,12113,0,0,38954,0,115587,11450,0,0,11425,0,0,6212,0,10981,50729,0,0,69554,0,0
35,E005, R. V. College of Engineering  Bangalore,ET,0,0,0,6738,0,16284,9975,0,0,0,0,0,5457,0,0,4663,0,12245,34304,0,36070,67522,119357,0
36,E005, R. V. College of Engineering  Bangalore,IE,1402,0,0,1657,4284,2950,1628,0,0,723,0,0,947,0,1008,663,3599,976,8590,17565,11553,14359,0,24786
37,E005, R. V. College of Engineering  Bangalore,IM,28618,0,0,27920,0,122007,0,0,0,46672,0,0,36603,0,56071,21189,32684,54292,64510,0,0,160749,0,0
38,E005, R. V. College of Engineering  Bangalore,ME,20779,0,76701,21908,0,40650,18688,0,0,15803,0,0,23111,0,0,11815,27129,33449,85152,86808,115440,72298,0,129975
39,E005, R. V. College of Engineering  Bangalore,SE,6874,84957,0,11791,0,13993,15163,0,0,5745,0,0,5913,0,0,4868,0,13570,24839,0,78663,36229,0,0
40,E006, M S Ramaiah Institute of Technology  Bangalore,AD,7698,0,0,4955,0,0,9240,0,12649,4801,0,5810,5541,0,0,4594,13257,5634,25771,0,0,14563,0,0
41,E006, M S Ramaiah Institute of Technology  Bangalore,AI,0,0,0,5872,0,0,0,0,0,4368,0,0,0,0,0,4178,6501,7225,24283,0,34476,30605,0,0
42,E006, M S Ramaiah Institute of Technology  Bangalore,BT,0,0,77828,36750,0,0,0,0,132478,26243,0,0,33009,0,0,21557,28001,41250,50984,0,0,152498,0,0
43,E006, M S Ramaiah Institute of Technology  Bangalore,CA,5890,0,0,5732,24380,6275,3675,0,0,3764,0,5229,3830,0,0,3342,7784,4131,27597,51451,46136,27833,0,42906
