,InstituteId,InstituteName,BranchCode,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
0,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI,10087,20801,-1,9302,-1,10041,12213,-1,-1,7188,-1,-1,7791,-1,-1,6935,7979,8653,26148,-1,33645,24190,-1,33807
1,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE,126281,-1,140951,99176,-1,110030,95076,-1,105256,79965,-1,88750,93233,153643,95251,74111,84671,86716,105351,132307,186680,109874,-1,129504
2,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS,5809,-1,-1,5835,7296,6519,7166,-1,12625,4749,-1,5774,4889,-1,5708,4344,6701,5402,20990,28206,29187,15475,16438,20958
3,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC,15177,-1,18548,14878,15407,16522,21600,-1,-1,10997,-1,12440,10574,-1,14664,9878,14864,11936,33658,46591,47113,37482,-1,52570
4,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE,41399,-1,55688,37226,39400,43302,59169,96469,89610,26321,-1,-1,28487,-1,34904,23821,32204,31736,69595,73849,74966,72997,-1,78257
5,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE,8789,-1,-1,7228,-1,8133,8098,-1,-1,5783,-1,-1,5808,-1,-1,5695,7193,6198,24284,31375,40322,24799,-1,28919
6,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),ME,83509,-1,84665,86868,-1,107637,104732,-1,-1,77173,-1,82171,89425,119900,115863,64627,75314,80740,139206,180358,169992,145187,188634,170285
7,E002, S K S J T Institute of Engineering.  Bangalore,CE,-1,-1,-1,180953,-1,-1,183004,-1,-1,148299,-1,-1,147143,-1,194825,138512,-1,161691,174982,-1,-1,183936,-1,-1
8,E002, S K S J T Institute of Engineering.  Bangalore,CS,24899,-1,-1,28336,-1,-1,-1,-1,-1,23794,-1,-1,25299,-1,25427,23163,24419,-1,32790,36626,43970,34511,-1,36547
9,E002, S K S J T Institute of Engineering.  Bangalore,EC,52617,-1,-1,41255,45413,47267,42146,-1,-1,37660,-1,48919,39124,-1,-1,35196,42105,39920,64925,-1,-1,77419,-1,-1
10,E002, S K S J T Institute of Engineering.  Bangalore,ST,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,196799,-1,-1,-1,-1,-1,-1,-1,-1
11,E002, S K S J T Institute of Engineering.  Bangalore,TX,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,199729,-1,-1,-1,-1,-1,-1,-1,-1
12,E003," B M S College of Engineering  Basavanagudi,Bangalore",CE,46793,-1,-1,60297,-1,-1,82145,-1,-1,53421,-1,-1,58832,-1,-1,42640,-1,67929,110027,-1,149392,79398,-1,131971
13,E003," B M S College of Engineering  Basavanagudi,Bangalore",EC,5251,-1,8613,6663,14821,8275,14769,-1,-1,4713,-1,-1,4420,-1,-1,3537,6227,6424,24731,47314,35545,30602,-1,-1
14,E003," B M S College of Engineering  Basavanagudi,Bangalore",EE,25274,-1,-1,22022,-1,27454,19886,-1,-1,20361,-1,-1,17692,-1,26729,14499,15787,25748,54357,-1,92064,51371,80710,109321
15,E003," B M S College of Engineering  Basavanagudi,Bangalore",IM,91460,-1,-1,95159,-1,-1,86500,-1,183529,66700,-1,118275,77886,-1,-1,55047,118046,86676,139060,-1,-1,165009,-1,-1
