,InstituteId,InstituteName,Institution,CourseName,Course,Location,City,BranchCode,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,AvgCutoffRank,Category-1_min,Category-1_max,Category-2A_min,Category-2A_max,Category-2B_min,Category-2B_max,Category-3A_min,Category-3A_max,Category-3B_min,Category-3B_max,Category-GM_min,Category-GM_max,Category-SC_min,Category-SC_max,Category-ST_min,Category-ST_max
29,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Computers Science And Engineering,Computers Science And Engineering [CS],"Mysuru Rd,Bengaluru",Bengaluru,CS,749,0,1226,1092,1672,1429,1100,0,3436,397,0,844,544,0,830,360,1659,800,6380,11447,10358,7132,27929,11075,4522,749,1226,1092,1672,1100,3436,397,844,544,830,360,1659,6380,11447,7132,27929
31,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Computer Science Engineering-Data Sciences,Computer Science Engineering-Data Sciences [DS],"Mysuru Rd,Bengaluru",Bengaluru,DS,2027,0,0,1779,0,2667,2221,0,0,1382,0,0,1029,0,0,899,2750,1777,10583,0,18082,17030,0,0,5185,2027,2027,1779,2667,2221,2221,1382,1382,1029,1029,899,2750,10583,18082,17030,17030
25,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Mysuru Rd,Bengaluru",Bengaluru,AI,3358,0,0,2269,4303,0,1169,0,0,1213,0,0,1468,0,2795,1143,3175,2190,11742,0,13967,11268,0,22763,5915,3358,3358,2269,4303,1169,1169,1213,1213,1468,2795,1143,3175,11742,13967,11268,22763
36,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Information Science and Engineering,Information Science and Engineering [IE],"Mysuru Rd,Bengaluru",Bengaluru,IE,1402,0,0,1657,4284,2950,1628,0,0,723,0,0,947,0,1008,663,3599,976,8590,17565,11553,14359,0,24786,6043,1402,1402,1657,4284,1628,1628,723,723,947,1008,663,3599,8590,17565,14359,24786
30,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Computer Science Engineering-Cyber Security,Computer Science Engineering-Cyber Security [CY],"Mysuru Rd,Bengaluru",Bengaluru,CY,0,0,0,2593,0,2992,2508,0,0,1954,5075,0,1384,0,0,1339,0,2620,12957,0,26998,8463,0,0,6262,0,0,2593,2992,2508,2508,1954,5075,1384,1384,1339,2620,12957,26998,8463,8463
177,E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E021],Computers Science And Engineering,Computers Science And Engineering [CS],"University Of Mysore Campus, Mysore",Mysore,CS,6018,0,0,4541,0,5627,7950,13896,0,2239,0,0,2862,0,4637,2077,2863,3783,10528,0,16273,5174,0,8354,6454,6018,6018,4541,5627,7950,13896,2239,2239,2862,4637,2077,3783,10528,16273,5174,8354
46,E006,M S Ramaiah Institute of Technology  Bangalore,M S Ramaiah Institute of Technology  Bangalore [E006],Computers Science And Engineering,Computers Science And Engineering [CS],"MSRIT Post,Bengaluru",Bengaluru,CS,3085,0,0,2877,6460,3637,3412,0,0,2479,0,0,2128,0,3305,1859,3592,3045,12563,16313,14402,13465,0,23343,7247,3085,3085,2877,6460,3412,3412,2479,2479,2128,3305,1859,3592,12563,16313,13465,23343
322,E048,"B M S College of Engineering  Basavanagudi,Bangalore","B M S College of Engineering  Basavanagudi,Bangalore [E048]",Computers Science And Engineering,Computers Science And Engineering [CS],"Basavanagudi,Bengaluru",Bengaluru,CS,2623,0,4832,2953,6480,4214,3860,0,4755,1594,0,2339,1977,3565,3055,1037,3057,1817,13450,17704,18099,14210,27763,22641,7715,2623,4832,2953,6480,3860,4755,1594,2339,1977,3565,1037,3057,13450,18099,14210,27763
1415,E284,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E284],Computers Science And Engineering,Computers Science And Engineering [CS],Mysore,Mysore,CS,4232,0,0,4910,0,7087,9850,0,0,3492,0,0,3889,0,0,3134,9051,4796,19448,0,23301,10569,0,0,8646,4232,4232,4910,7087,9850,9850,3492,3492,3889,3889,3134,9051,19448,23301,10569,10569
32,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"Mysuru Rd,Bengaluru",Bengaluru,EC,2562,0,0,3414,10747,6117,5547,0,0,1639,0,0,1838,0,5893,1366,4743,3563,16080,22018,24848,13670,0,20237,9017,2562,2562,3414,10747,5547,5547,1639,1639,1838,5893,1366,4743,16080,24848,13670,20237
