,InstituteId,Institution,Location,City
0,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ) [E001],"KR Circle, Bengaluru", Bengaluru
1,E002,S K S J T Institute of Engineering.  Bangalore [E002],"Sampangi Rama Nagar, Bengaluru", Bengaluru
2,E003,"B M S College of Engineering  Basavanagudi,Bangalore [E003]","Basavanagudi, Bengaluru", Bengaluru
3,E004,Dr. Ambedkar Institute Of Technology  Bangalore [E004],"Near Gnana Bharathi, Bengaluru", Bengaluru
4,E005,R. V. College of Engineering  Bangalore [E005],"Mysuru Rd,Bengaluru", Bengaluru
5,E006,M S Ramaiah Institute of Technology  Bangalore [E006],"MSRIT Post,Bengaluru", Bengaluru
6,E007,Dayananda Sagar College of Engineering  Bangalore [E007],"Kumaraswamy Layout, Bengaluru", Bengaluru
7,E008,Bangalore Institute of Technology  Bangalore [E008],"Basavanagudi, Bengaluru", Bengaluru
8,E009,P E S University (Ring Road Campus)  Bangalore [E009],"Banashankari, Bengaluru", Bengaluru
9,E011,M V J College of Engineering  Bangalore [E011],"Kadugodi, Bengaluru", Bengaluru
10,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]","Hunasemaranahalli,Bengaluru", Bengaluru
11,E013,Ghousia Engineering College  Ramanagara [E013],"Vijaya Nagar, Ramanagara", Ramanagara
12,E014,S J C Institute of Technology  Chickballapur [E014],"BB Rd, Chikkaballapur", Chikkaballapur
13,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District [E015],"KGF,Kolar", Kolar
14,E016,Siddaganga Institute of Technology  Tumakuru [E016],"Bangalore - Honnavar Rd,Tumakuru", Tumakuru
15,E017,Sri Siddartha Institute of Technology  Tumakuru [E017],"Tumakuru-Kunigal Rd, Saraswathipuram, Tumakuru", Tumakuru
16,E018,Kalpatharu Institute of Technology  Tiptur [E018],"Vidya Nagar, Tiptur, Tumakuru", Tumakuru
17,E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E021],"University Of Mysore Campus, Mysore", Mysore
18,E022,The National Institute of Engineering(SOUTH CAMPUS)  Mysore [E022],"Mananthavadi Rd,Mysore", Mysore
19,E023,P E S College of Engineering  Mandya [E023],"PES Engineering College Rd, Mandya", Mandya
20,E024,Malnad College of Engineering  Hassan [E024],"Rangoli Halla, Hassan", Hassan
21,E028,Tontadarya College of Engineering  Gadag [E028],"Kalyan Nagar, Gadag", Gadag
22,E029,Maratha Mandal Engineering College  Belgaum [E029],"Halbhavi Camp, Belgaum", Belgaum
23,E031,Basaveshwara Engineering College  Bagalkot [E031],"Vidayagiri, Bagalkot", Bagalkot
24,E032,R.T.E Socity`s Rural Engineering College  Hulkoti [E032],"Hulkoti, Gadag", Gadag
25,E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur [E033],"P.B. Road, Ranebennur, Haveri", Haveri
26,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],"Dhavalagiri, Dharwad", Dharwad
27,E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]","Anjumanabad, Bhatkal, Uttara Kannada", Uttara Kannada
28,E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036],"Udyambag, Belgaum", Belgaum
29,E037,K.L.S. Gogte Institute of Technology  Belgaum [E037],"Udyambag, Belgaum", Belgaum
30,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],"Adarsh Nagar, Bijapur", Bijapur
31,E040,"Hira Sugar Institute of Technology  Belagavi District, [E040]","Nidasoshi, Belgaum", Belgaum
32,E041,P D A College of Engineering  Gulbarga [E041],"Shambhognlli, Gulbarga", Gulbarga
33,E042,Khaja Banda Nawaz University  Kalburgi [E042],"KBN University Street, Khaja Colony, Gulbarga", Gulbarga
34,E043,Gurunanak Dev Engineering College  Bidar [E043],"Mailoor, Bidar", Bidar
35,E044,Bheemanna Khandre Institute of Technology  Bhalki [E044],"Bhalki, Bidar", Bidar
36,E045,Rao Bahadur Y.Mahabaleswarappa Engineering College  Bellari [E045],"Cantonment Bellary,Bellary", Bellary
37,E046,H K Es S L N College of Engineering  Raichur [E046],"Yeramarus Camp, Raichur", Raichur
38,E047,Malnad College of Engineering  Hassan [E047],"Rangoli Halla, Hassan", Hassan
39,E048,"B M S College of Engineering  Basavanagudi,Bangalore [E048]","Basavanagudi,Bengaluru", Bengaluru
40,E049,Basaveshwara Engineering College  Bagalkot [E049],Bagalkot, Bagalkot
41,E054,"K V G College of Engineering  Sullia,D.K District [E054]","Sullia, Dakshina Kannada", Dakshina Kannada
42,E055,"P A College of Engineering  Bantwal, Mangalore [E055]","Bantwal, Dakshina Kannada", Dakshina Kannada
43,E056,The National Institute of Engineering(SOUTH CAMPUS)  Mysore [E056],"Manandavadi Road, Mysore", Mysore
44,E057,JSS Science and Technology University(Formerly SJCE)  Mysore [E057],"University Of Mysore Campus, Mysore", Mysore
45,E058,P E S College of Engineering  Mandya [E058],"P.E.S. Engineering College Road, Mandya", Mandya
46,E059,P D A College of Engineering  Gulbarga [E059],"Shambhognlli, Gulbarga", Gulbarga
47,E060,"Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore [E060]","Jnanabharathi Campus, Bengaluru", Bengaluru
48,E061,University B.D.T. college of Engineering  Davanagere [E061],Davanagere, Davanagere
49,E062,Bapuji Institute of Engineering and Technology  Davanagere [E062],"BIET, Davanagere", Davanagere
50,E063,SJM Institute of Techonology  Chitradurga [E063],"Hanumantha Nagara, Chitradurga", Chitradurga
51,E064,Adhichunchanagiri Institute of Technology  Chickmagalur [E064],"Jyothi nagara, Chikkamagaluru", Chikkamagaluru
52,E065,Jawaharlal Nehru National College of Engineering  Shivamogga [E065],"Navule, Shivamogga", Shivamogga
53,E070,"Bahubali College of Engineering  Hassan Dist, [E070]","Gommatanagar,Hassan", Hassan
54,E071,Vidya Vardhaka College of Engineering  Mysuru [E071],"Gokulam, Mysore", Mysore
55,E075,Ballari Institute of Technology and Management  Near Allipur Bellary [E075],"Near Allipur, Bellary", Bellary
56,E076,"Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT [E076]","Hosapete, Bellary", Bellary
57,E077,Vidya Vikas Institute of Engineering and Technology  Mysuru [E077],"Alanahally, Mysore", Mysore
58,E078,The Oxford College of Engineering  Bangalore [E078],"Hosur Road, Bengaluru", Bengaluru
59,E079,Acharya Institute of Technology  Bangalore [E079],"Hessarghatta Road,Bengaluru", Bengaluru
60,E081,H M S Institute of Technology  Tumakuru [E081],"Kyathasandra,Tumakuru", Tumakuru
