,InstituteId,InstituteName,Institution
0,E254, A J Institute Of Engineering And Technology  MANGALORE, A J Institute Of Engineering And Technology  MANGALORE [E254]
1,E186," ACS College of Engineering  Kengeri Hobli,Bangalore"," ACS College of Engineering  Kengeri Hobli,Bangalore [E186]"
2,E297," ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY  YELAHANKA, BANGALORE"," ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY  YELAHANKA, BANGALORE [E297]"
3,E199," AGM Rural Engineering College  Hubli, Darward (D)"," AGM Rural Engineering College  Hubli, Darward (D) [E199]"
4,E300," AKASH INTITUTE OF ENGINEERING AND TECHNOLOGY  KASABA HOBLI, BANGALORE RURAL"," AKASH INTITUTE OF ENGINEERING AND TECHNOLOGY  KASABA HOBLI, BANGALORE RURAL [E300]"
5,E095, AMC Engineering College  Bangalore, AMC Engineering College  Bangalore [E095]
6,E302," AMITY UNIVERSITY  DEVANAHALLI ,BANAGLORE"," AMITY UNIVERSITY  DEVANAHALLI ,BANAGLORE [E302]"
7,E085," APS College of Engineering  Somanahalli, Bangalore"," APS College of Engineering  Somanahalli, Bangalore [E085]"
8,E205," ATME College of Engineering  Varun  hobli,Mysore"," ATME College of Engineering  Varun  hobli,Mysore [E205]"
9,E079, Acharya Institute of Technology  Bangalore, Acharya Institute of Technology  Bangalore [E079]
10,E208, Achutha Institute of Technology  Bangalore, Achutha Institute of Technology  Bangalore [E208]
11,E064, Adhichunchanagiri Institute of Technology  Chickmagalur, Adhichunchanagiri Institute of Technology  Chickmagalur [E064]
12,E142," Adichunchanagiri University(Formerly BGSIT)  Nagamangala Taluk,Mandya Dist."," Adichunchanagiri University(Formerly BGSIT)  Nagamangala Taluk,Mandya Dist. [E142]"
13,E191, Akshaya Institute of Technology  Tumkur, Akshaya Institute of Technology  Tumkur [E191]
14,E220, Alliance University  Bangalore, Alliance University  Bangalore [E220]
15,E169," Alva`s Institute of Engineering and Technology  Moodabidri,"," Alva`s Institute of Engineering and Technology  Moodabidri, [E169]"
16,E168," Amrutha Institute of Engineering and Mangement  Bidadi Indust. Estate,Ban'lore"," Amrutha Institute of Engineering and Mangement  Bidadi Indust. Estate,Ban'lore [E168]"
17,E185, Angadi Institute of Technology and Management  Belgaum, Angadi Institute of Technology and Management  Belgaum [E185]
18,E035," Anjuman Engineering College  Bhatkala, Uttar kannada Dist"," Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]"
19,E098, Atria Institute of Technology  Bangalore, Atria Institute of Technology  Bangalore [E098]
20,E038, B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur, B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038]
21,E003," B M S College of Engineering  Basavanagudi,Bangalore"," B M S College of Engineering  Basavanagudi,Bangalore [E003]"
22,E048," B M S College of Engineering  Basavanagudi,Bangalore"," B M S College of Engineering  Basavanagudi,Bangalore [E048]"
23,E126," B M S Institute of Technology and Management  Yelahanka, Bangalore"," B M S Institute of Technology and Management  Yelahanka, Bangalore [E126]"
24,E107, B N M Institute of Technology  Bangalore, B N M Institute of Technology  Bangalore [E107]
25,E286," BGS College of Engineering and Technology  Mahalakshmipuram,Bangalore"," BGS College of Engineering and Technology  Mahalakshmipuram,Bangalore [E286]"
26,E070," Bahubali College of Engineering  Hassan Dist,"," Bahubali College of Engineering  Hassan Dist, [E070]"
27,E075, Ballari Institute of Technology and Management  Near Allipur Bellary, Ballari Institute of Technology and Management  Near Allipur Bellary [E075]
28,E088," Bangalore College of Engineering and Technology  Chandapura, Bangalore"," Bangalore College of Engineering and Technology  Chandapura, Bangalore [E088]"
29,E008, Bangalore Institute of Technology  Bangalore, Bangalore Institute of Technology  Bangalore [E008]
30,E204," Bangalore Technological  Institute  Sarjapura Rd, Bangalore"," Bangalore Technological  Institute  Sarjapura Rd, Bangalore [E204]"
31,E062, Bapuji Institute of Engineering and Technology  Davangere, Bapuji Institute of Engineering and Technology  Davangere [E062]
32,E264," Basava Engineering School of Technology  Zalaki, Vijaypura Dist."," Basava Engineering School of Technology  Zalaki, Vijaypura Dist. [E264]"
33,E093," Basavakalyana Engineering College  Basavakalyana, Bidar-Dist"," Basavakalyana Engineering College  Basavakalyana, Bidar-Dist [E093]"
34,E049, Basaveshwara Engineering College  Bagalkot, Basaveshwara Engineering College  Bagalkot [E049]
35,E031, Basaveshwara Engineering College  Bagalkot, Basaveshwara Engineering College  Bagalkot [E031]
36,E180, Bearys Institute of Technology  Mangalore, Bearys Institute of Technology  Mangalore [E180]
37,E044, Bheemanna Khandre Institute of Technology  Bhalki, Bheemanna Khandre Institute of Technology  Bhalki [E044]
38,E221," Biluru Gurubasava Mahaswamiji Institute of Technology  Mudhol,Bagalkot- Dist"," Biluru Gurubasava Mahaswamiji Institute of Technology  Mudhol,Bagalkot- Dist [E221]"
39,E171," Brindavan College of Engineering  Yelahanka, Bangalore"," Brindavan College of Engineering  Yelahanka, Bangalore [E171]"
