,Institution
0, A J Institute Of Engineering And Technology  MANGALORE [E254]
1," ACS College of Engineering  Kengeri Hobli,Bangalore [E186]"
2," ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY  YELAHANKA, BANGALORE [E297]"
3," AGM Rural Engineering College  Hubli, Darward (D) [E199]"
4," AKASH INTITUTE OF ENGINEERING AND TECHNOLOGY  KASABA HOBLI, BANGALORE RURAL [E300]"
5, AMC Engineering College  Bangalore [E095]
6," AMITY UNIVERSITY  DEVANAHALLI ,BANAGLORE [E302]"
7," APS College of Engineering  Somanahalli, Bangalore [E085]"
8," ATME College of Engineering  Varun  hobli,Mysore [E205]"
9, Acharya Institute of Technology  Bangalore [E079]
10, Achutha Institute of Technology  Bangalore [E208]
11, Adhichunchanagiri Institute of Technology  Chickmagalur [E064]
12," Adichunchanagiri University(Formerly BGSIT)  Nagamangala Taluk,Mandya Dist. [E142]"
13, Akshaya Institute of Technology  Tumkur [E191]
14, Alliance University  Bangalore [E220]
15," Alva`s Institute of Engineering and Technology  Moodabidri, [E169]"
16," Amrutha Institute of Engineering and Mangement  Bidadi Indust. Estate,Ban'lore [E168]"
17, Angadi Institute of Technology and Management  Belgaum [E185]
18," Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]"
19, Atria Institute of Technology  Bangalore [E098]
20, B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038]
21," B M S College of Engineering  Basavanagudi,Bangalore [E003]"
22," B M S College of Engineering  Basavanagudi,Bangalore [E048]"
23," B M S Institute of Technology and Management  Yelahanka, Bangalore [E126]"
24, B N M Institute of Technology  Bangalore [E107]
25," BGS College of Engineering and Technology  Mahalakshmipuram,Bangalore [E286]"
26," Bahubali College of Engineering  Hassan Dist, [E070]"
27, Ballari Institute of Technology and Management  Near Allipur Bellary [E075]
28," Bangalore College of Engineering and Technology  Chandapura, Bangalore [E088]"
29, Bangalore Institute of Technology  Bangalore [E008]
30," Bangalore Technological  Institute  Sarjapura Rd, Bangalore [E204]"
31, Bapuji Institute of Engineering and Technology  Davangere [E062]
32," Basava Engineering School of Technology  Zalaki, Vijaypura Dist. [E264]"
33," Basavakalyana Engineering College  Basavakalyana, Bidar-Dist [E093]"
34, Basaveshwara Engineering College  Bagalkot [E049]
35, Basaveshwara Engineering College  Bagalkot [E031]
36, Bearys Institute of Technology  Mangalore [E180]
37, Bheemanna Khandre Institute of Technology  Bhalki [E044]
38," Biluru Gurubasava Mahaswamiji Institute of Technology  Mudhol,Bagalkot- Dist [E221]"
39," Brindavan College of Engineering  Yelahanka, Bangalore [E171]"
40, C Byre Gowda Institute of Technology  Kolar [E184]
41, C M R Institute of Technology  Bangalore [E097]
42," CMR University  CHAGALATTI, BANGALORE [E257]"
43, Cambridge Institutute of Technology  Bangalore [E149]
44," Cambridge Institutute of Technology-North Campus  Devanahalli(TQ),Bangalore(R) [E222]"
45, Canara Engineering College Bantwal  DK DIST [E123]
46, Cauvery Institute of Technology  Mandya tq [E227]
47," Channabasaveshwara Institute of Technology  Gubbi, Tumkur [E101]"
48, City Engineering College  Bangalore [E109]
49, Coorg Institute of Technology  Kodagu [E094]
50, DONBOSCO Institute of Technology  Bangalore [E102]
51, Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore [E212]
52, Dayananda Sagar College of Engineering  Bangalore [E007]
53," Dayananda Sagar University  Hosur Road, Bangalore [E240]"
54, Dr. Ambedkar Institute Of Technology  Bangalore [E004]
55," Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore [E060]"
56," Dr. Sri. Sri. Sri. Shivakumara Mahaswamyji College of Engineering  Bangalore Rural -Dist, [E174]"
57, Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District [E015]
58, East Point College of Engineering and Technology  Bangalore [E096]
59," East West College of Engineering  Yelahanka New Town, Bangalore [E239]"
60, East West Institute of Technology  Bangalore [E106]
61, G M Institute of Technology  Davanagere [E114]
62," G M UNIVERSITY  KARUR VILLAGE, DAVANGERE [E303]"
63," G Madegowda Institute of Technology  Maddur Taluk, Mandya  DIST [E210]"
64, G S S S Institute of Engineering and Technology for Women  Mysore [E133]
65, Garden City University  Bangalore [E288]
66, Ghousia Engineering College  Ramanagara [E013]
67," Ghousia Institute of Technology for Women, Bangalore  BANGALORE [E299]"
