,InstituteId,InstituteName
0,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. )
1,E002, S K S J T Institute of Engineering.  Bangalore
2,E003," B M S College of Engineering  Basavanagudi,Bangalore"
3,E004, Dr. Ambedkar Institute Of Technology  Bangalore
4,E005, R. V. College of Engineering  Bangalore
5,E006, M S Ramaiah Institute of Technology  Bangalore
6,E007, Dayananda Sagar College of Engineering  Bangalore
7,E008, Bangalore Institute of Technology  Bangalore
8,E009, P E S University (Ring Road Campus)  Bangalore
9,E011, M V J College of Engineering  Bangalore
10,E012," Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,"
11,E013, Ghousia Engineering College  Ramanagara
12,E014, S J C Institute of Technology  Chickballapur
13,E015, Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District
14,E016, Siddaganga Institute of Technology  Tumkur
15,E017, Sri Siddartha Institute of Technology  Tumkur
16,E018, Kalpatharu Institute of Technology  Tiptur
17,E021, Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore
18,E022, The National Institute of Engineering(SOUTH CAMPUS)  Mysore
19,E023, P E S College of Engineering  Mandya
20,E024, Malnad College of Engineering  Hassan
21,E028, Tontadarya College of Engineering  Gadag
22,E029, Maratha Mandal Engineering College  Belgaum
23,E031, Basaveshwara Engineering College  Bagalkot
24,E032, R.T.E Socity`s Rural Engineering College  Hulkoti
25,E033, Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur
26,E034, Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad
27,E035," Anjuman Engineering College  Bhatkala, Uttar kannada Dist"
28,E036, KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum
29,E037, K.L.S. Gogte Institute of Technology  Belgaum
30,E038, B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur
31,E040," Hira Sugar Institute of Technology  Belagavi District,"
32,E041, P D A College of Engineering  Gulbarga
33,E042, Khaja Banda Nawaz University  Kalburgi
34,E043, Gurunanak Dev Engineering College  Bidar
35,E044, Bheemanna Khandre Institute of Technology  Bhalki
36,E045, Rao Bahadur Y.Mahabaleswarappa Engineering College  Bellari
37,E046, H K Es S L N College of Engineering  Raichur
38,E047, Malnad College of Engineering  Hassan
39,E048," B M S College of Engineering  Basavanagudi,Bangalore"
40,E049, Basaveshwara Engineering College  Bagalkot
41,E054," K V G College of Engineering  Sullia,D.K District"
