,CETCode,College,Location
1,E001,University Visveswariah College of Engineering,"KR Circle, Bengaluru"
2,E002,SKSJT Institute of Engineering,"Sampangi Rama Nagar, Bengaluru"
3,E003,BMS College of Engineering (Aided),"Basavanagudi, Bengaluru"
4,E004,Dr. Ambedkar Institute Of Technology (Aided),"Near Gnana Bharathi, Bengaluru"
5,E005,RV College of Engineering,"Mysuru Rd,Bengaluru"
6,E006,MS Ramaiah Institute of Technology,"MSRIT Post,Bengaluru"
7,E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru"
8,E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru"
9,E009,PES University (Ring Road Campus),"Banashankari, Bengaluru"
10,E010,Islamia Institute of Technology,"Hulimavu, Bengaluru"
11,E011,MVJ College of Engineering,"Kadugodi, Bengaluru"
12,E012,Sir M.Visveswaraya Institute of Technology,"Hunasemaranahalli,Bengaluru"
13,E013,Ghousia Engineering College,"Vijaya Nagar, Ramanagara"
14,E014,SJC Institute of Technology,"BB Rd, Chickaballapur"
15,E015,Dr.T.Thimmaiah Institute of Technology,"KGF,Kolar"
16,E016,Siddaganga Institute of Technology,"Bangalore - Honnavar Rd,Tumkur"
17,E017,Sri Siddartha Institute of Technology,"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur"
18,E018,Kalpatharu Institute of Technology,"Vidya Nagar, Tiptur, Tumkur"
19,E021,JSS Science and Technology University(Formerly SJCE) (Aided),"University Of Mysore Campus, Mysore"
20,E022,The National Institute of Engineering (Aided),"Mananthavadi Rd,Mysore"
21,E023,PES College of Engineering (Aided),"PES Engineering College Rd, Mandya"
22,E024,Malnad College of Engineering (Aided),"Rangoli Halla, Hassan"
23,E028,Tontadarya College of Engineering,"Kalyan Nagar, Gadag"
24,E029,Maratha Mandal Engineering College,"Halbhavi Camp, Belgaum"
25,E030,KLE Technological University(Formerly BVBCET),"Vidya Nagar, Hubli"
26,E031,Basaveshwara Engineering College,"Vidayagiri, Bagalkot"
27,E032,RTE Socity`s Rural Engineering College,"Hulkoti, Gadag"
28,E033,Sri Taralabalu Jagadguru Institute of Technology,"P.B. Road, Ranebennur, Haveri"
29,E034,Sri Dharmasthala Manjunatheswara College of Engineering,"Dhavalagiri, Dharwad"
30,E035,Anjuman Engineering College,"Anjumanabad, Bhatkal, Uttara Kannada"
31,E036,KLE Dr. M S Sheshagiri College of Engineering and Technology,"Udyambag, Belgaum"
32,E037,KLS Gogte Institute of Technology,"Udyambag, Belgaum"
33,E038,BLDE As V.P. Dr. P. G. Hallakatti College of Engg. and Tech,"Adarsh Nagar, Bijapur"
34,E040,Hira Sugar Institute of Technology,"Nidasoshi, Belgaum"
35,E041,PDA College of Engineering (Aided),"Shambhognlli, Gulbarga"
36,E042,Khaja Banda Nawaz University,"KBN University Street, Khaja Colony, Gulbarga"
37,E043,Gurunanak Dev Engineering College,"Mailoor, Bidar"
38,E044,Bheemanna Khandre Institute of Technology,"Bhalki, Bidar"
39,E045,Rao Bahadur Y.Mahabaleswarappa Engineering College,"Cantonment Bellary,Bellary"
40,E046,HKEs S L N College of Engineering,"Yeramarus Camp, Raichur"
41,E047,Malnad College of Engineering,"Rangoli Halla, Hassan"
42,E048,BMS College of Engineering,"Basavanagudi,Bengaluru"
43,E049,Basaveshwara Engineering College,Bagalkot
44,E053,NMAM Institutute of Technology,"Nitte, Karkala, Udupi"
45,E054,KVG College of Engineering,"Sullia, Dakshina Kannada"
46,E055,PA College of Engineering,"Bantwal, Dakshina Kannada"
47,E056,The National Institute of Engineering,"Manandavadi Road, Mysore"
48,E057,JSS Science and Technology University(Formerly SJCE),"University Of Mysore Campus, Mysore"
49,E058,PES College of Engineering,"P.E.S. Engineering College Road, Mandya"
50,E059,PDA College of Engineering,"Shambhognlli, Gulbarga"
51,E060,Dr. Ambedkar Institute Of Technology,"Jnanabharathi Campus, Bengaluru"
52,E061,University B.D.T. college of Engineering,Davangere
53,E062,Bapuji Institute of Engineering and Technology,"BIET, Davanagere"
54,E063,SJM Institute of Technology,"Hanumantha Nagara, Chitradurga"
55,E064,Adhichunchanagiri Institute of Technology,"Jyothi nagara, Chikkamagaluru"
56,E065,Jawaharlal Nehru National College of Engineering,"Navule, Shivamogga"
57,E070,Bahubali College of Engineering,"Gommatanagar,Hassan"
58,E071,Vidya Vardhaka College of Engineering,"Gokulam, Mysore"
59,E075,Ballari Institute of Technology and Management,"Near Allipur, Bellary"
60,E076,Proudadevaraya Institute of Technology,"Hosapete, Bellary"
61,E077,Vidya Vikas Institute of Engineering and Technology,"Alanahally, Mysore"
62,E078,The Oxford College of Engineering,"Hosur Road, Bengaluru"
63,E079,Acharya Institute of Technology,"Hessarghatta Road,Bengaluru"
64,E081,HMS Institute of Technology,"Kyathasandra,Tumakuru"
65,E082,JSS Academy of Technical Education,"Dr.Vishnuvardhan Rd, Srinivapura Post, Bengaluru"
66,E083,HKBK College of Engineering,"Nagavara, Bengaluru"
67,E086,Sri Sairam College of Engineering(Formerly Shirdi Sai Engg),"Anekal,Bengaluru"
68,E087,Vivekananada Institute of Technology,"Kumbalagodu, Bengaluru"
69,E088,Bangalore College of Engineering and Technology,"Chandapura, Bengaluru"
70,E089,BTL Institute of Technology and Management,"Bommasandra Industrial Area, Bengaluru"
71,E090,Sri Revana Siddeswara Institute of Technology,"Chikkajala,Bengaluru"
72,E091,KS Institute of Technology,"Raghuvanahalli, Bengaluru"
73,E092,Vemana Institute of Technology,"Koramangala, Bengaluru"
74,E093,Basavakalyana Engineering College,"Basavakalyana, Bidar"
75,E094,Coorg Institute of Technology,"Ponnampet,Kodagu"
76,E095,AMC Engineering College,"Bannerghatta Main Rd, Bengaluru"
77,E096,East Point College of Engineering and Technology,"Virgo Nagar, Bengaluru"
78,E097,CMR Institute of Technology,"Brookefield, Bengaluru"
79,E098,Atria Institute of Technology,"Hebbal, Bengaluru"
80,E099,New Horizon College of Engineering,"Kadabeesanahalli, Bengaluru"
81,E100,KNS Institute of Technology,"Uttarahalli Hobli, Bengaluru"
82,E101,Channabasaveshwara Institute of Technology,"Gubbi, Tumakuru"
83,E102,DONBOSCO Institute of Technology,"Kumbalgodu,Bengaluru"
84,E103,Global Academy of Technology,"RR Nagar, Bengaluru"
85,E104,Nagarjuna College of Engineering and Technology,"Hyderabad highway , Bengaluru"
86,E105,Nitte Meenakshi Institutute of Technology,"Yelahanka, Bengaluru"
87,E106,East West Institute of Technology,"Yelahanka, Bengaluru"
88,E107,BNM Institute of Technology,"Banashankari, Bengaluru"
89,E108,Saptagiri College of Engineering.,"Hesarghatta Main Rd, Bengaluru"
90,E109,City Engineering College,"Doddakallasandra, Bengaluru"
91,E111,Sri Venkateshwara College of Engineering,"Bettahalsur(P), Bengaluru"
92,E112,Sri Krishna Institute of Technology,"Chikkabanavara, Bengaluru"
93,E113,Sambhram Institute of Technology,"Jalahalli East, Bengaluru"
94,E114,GM Institute of Technology,Davanagere
95,E115,SJB Institute of Technology,"Kengeri,Bengaluru"
96,E116,RL Jalappa Institute of Technology,"Doddaballapur, Bangaluru Rural"
97,E117,Alpha College Engineering,"Kannuru,Bengaluru"
98,E118,RNS Institute of Technology,"RR Nagar, Bengaluru"
99,E119,KCT Engineering College,"Roza,Gulbarga"
100,E120,Jnanavikasa Institute of Technology,Ramanagar
101,E121,Vivekananada College of Engineering Technology,Dakshina Kannada
102,E123,Canara Engineering College,"Bantwal,Dakshina Kannada"
103,E124,Rajiv Gandhi Institute of Technology,"R.T Nagar Post, Bengaluru"
104,E126,BMS Institute of Technology and Management,"Yelahanka,Bengaluru"
105,E127,MS Engineering College,"Off Bengaluru International Airport, Bengaluru"
106,E128,Sharnbasva University(Formerly Appa Inst. of Tech.),"Brahmpur, Gulbarga"
107,E129,St. Joseph Engineering College,"Mangalore, Dakshina Kannada"
108,E130,Shridevi Institute of Engineering and Technology,Tumkur
109,E132,Secab Institute of Engineering and Technology,Bijapur
110,E133,GSSS Institute of Engineering and Technology for Women,Mysore
111,E134,Smt. Kamala and Sri Venkappa M.Agadi College of Engg. and Tech.,"Laxmeshwara, Gadag"
112,E135,KLS Viswanathrao Deshpande Institute of Technology,"Haliyal, Uttara Kannada"
113,E136,Moodalakatte Institute of Technology,Udupi
114,E139,Impact College of Engineering and Applied Sciences,"Sahakara Nagar, Bengaluru"
115,E141,PES University,"Electronic city,Bengaluru"
116,E142,Adichunchanagiri University(Formerly BGSIT),"Nagamangala ,Mandya"
117,E144,Srinivas Institute of Technology,"Mangalore, Dakshina Kannada"
118,E145,Rajarajeswari College of Engineering,"Kumbalagodu, Bengaluru"
119,E146,Shreedevi Institute of Technology,"Kenjar, Mangalore, Dakshina Kannada"
120,E147,T.John Engineering College,"Bannerghatta Main Rd, Bengaluru"
121,E149,Cambridge Institutute of Technology,"Chikkabasavanapura, Bengaluru"
122,E150,P E S Institute of Technology and Management,Shimoga
123,E151,"Mangalore, Dakshina Kannada Institute of Technology and Engineering","Mangalore, Dakshina Kannada"
124,E152,S D M Institute of Tech,"Ujire,Dakshina Kannada"
125,E153,S E A College of Engineering and Technology,"K R puram,Bengaluru"
126,E154,Government Engineering College,Chamarajanagara
127,E155,Government Engineering College,Hassan
128,E156,Government Engineering College,"K R Pet, Mandya"
129,E157,Government Engineering College,Ramanagara
130,E158,Maharaja Institute of Technology-Mysore,"Belawadi, Mandya"
131,E159,Karavali Institute of Technology,"Mangalore, Dakshina Kannada"
